symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
NVDA,2024-10-27,140.52,24533000000,3447377160000.0005,9107000000,10225000000,3448495160000
NVDA,2024-07-28,111.59,24578000000,2742659020000.0,8563000000,10015000000,2744111020000
NVDA,2024-04-28,87.76,24620000000,2160651200000.0002,7587000000,10991000000,2164055200000
NVDA,2024-01-28,62.47,24660000000,1540510200000.0,7280000000,11056000000,1544286200000
NVDA,2023-10-29,41.16,24680000000,1015828799999.9999,5519000000,11027000000,1021336799999
NVDA,2023-07-30,46.73,24730000000,1155632900000.0,5783000000,10954000000,1160803900000
NVDA,2023-04-30,28.91,24700000000,714077000000.0,5079000000,12080000000,721078000000
NVDA,2023-01-29,19.16,24640000000,472102400000.0,3389000000,11855000000,480568400000
NVDA,2022-10-30,13.5,24830000000,335205000000.0,2800000000,10950000000,343355000000
NVDA,2022-07-31,18.44,24950000000,460078000000.00006,3013000000,11692000000,468757000000
NVDA,2022-05-01,19.53,25060000000,489421800000.0,3887000000,11699000000,497233800000
NVDA,2022-01-30,24.49,25040000000,613229600000.0,1990000000,11687000000,622926600000
NVDA,2021-10-31,25.83,24990000000,645491700000.0,1288000000,11687000000,655890700000
NVDA,2021-08-01,19.75,24930000000,492367500000.0,5628000000,12659000000,499398500000
NVDA,2021-05-02,14.84,24840000000,368625600000.0,978000000,7738000000,375385600000
NVDA,2021-01-31,13.24,24760000000,327822400000.0,847000000,7597000000,334572400000
NVDA,2020-10-25,13.14,24720000000,324820800000.0,2251000000,7565000000,330134800000
NVDA,2020-07-26,10.42,24640000000,256748800000.0,3274000000,7695000000,261169800000
NVDA,2020-04-26,7.43,24560000000,182480800000.0,15494000000,7578000000,174564800000
NVDA,2020-01-26,6.01,24480000000,147124800000.0,10896000000,2552000000,138780800000
NVDA,2019-10-27,5.17,24400000000,126148000000.0,9765000000,2548000000,118931000000
NVDA,2019-07-28,4.37,24360000000,106453200000.0,7105000000,2556000000,101904200000
NVDA,2019-04-28,4.48,24280000000,108774400000.00002,2772000000,2554000000,108556400000
NVDA,2019-01-27,3.45,24360000000,84042000000.0,782000000,1988000000,85248000000
NVDA,2018-10-28,4.64,24360000000,113030399999.99998,721000000,1990000000,114299399999
NVDA,2018-07-29,6.1,24280000000,148108000000.0,718000000,2001000000,149391000000
NVDA,2018-04-29,5.62,24240000000,136228800000.0,765000000,2000000000,137463800000
NVDA,2018-01-28,6.17,24240000000,149560800000.0,4002000000,2000000000,147558800000
NVDA,2017-10-29,5.1,24120000000,123011999999.99998,2802000000,2010000000,122219999999
NVDA,2017-07-30,4.06,23880000000,96952799999.99998,1988000000,2073000000,97037799999
NVDA,2017-04-30,2.67,23680000000,63225600000.0,1989000000,2210000000,63446600000
NVDA,2017-01-29,2.75,22120000000,60830000000.0,1766000000,2816000000,61880000000
NVDA,2016-10-30,1.78,21520000000,38305600000.0,1940000000,3045000000,39410600000
NVDA,2016-07-31,1.42,21360000000,30331200000.0,426000000,1508000000,31413200000
NVDA,2016-05-01,0.9,21480000000,19332000000.0,547000000,1509000000,20294000000
NVDA,2016-01-31,0.7325,21560000000,15792700000.0,596000000,1510000000,16706700000
NVDA,2015-10-25,0.7115,21680000000,15425320000.0,471000000,1417000000,16371320000
NVDA,2015-07-26,0.48275,21640000000,10446710000.0,435000000,1411000000,11422710000
NVDA,2015-04-26,0.555,21960000000,12187800000.000002,464000000,1404000000,13127800000
NVDA,2015-01-25,0.51538,21766800000,11218173383.999998,496654000,1398428000,12119947383
AAPL,2024-09-28,227.79,15171990000,3456027602100.0,29943000000,106629000000,3532713602100
AAPL,2024-06-29,210.62,15320000000,3226698400000.0,25565000000,101304000000,3302437400000
AAPL,2024-03-30,171.48,15405856000,2641796186880.0,32695000000,104590000000,2713691186880
AAPL,2023-12-30,192.53,15509763000,2986094670390.0,40760000000,108040000000,3053374670390
AAPL,2023-09-30,171.21,15599434000,2670779095140.0,29965000000,123930000000,2764744095140
AAPL,2023-07-01,193.97,15697614000,3044866187580.0,28408000000,109280000000,3125738187580
AAPL,2023-04-01,164.9,15787154000,2603301694600.0,24687000000,109615000000,2688229694600
AAPL,2022-12-31,129.93,15892723000,2064941499390.0,20535000000,111110000000,2155516499390
AAPL,2022-09-24,150.43,16030382000,2411450364260.0,23646000000,120069000000,2507873364260
AAPL,2022-06-25,141.66,16162945000,2289642788700.0,27502000000,119691000000,2381831788700
AAPL,2022-03-26,174.72,16278802000,2844232285440.0,28098000000,119981000000,2936115285440
AAPL,2021-12-25,176.28,16391724000,2889533106720.0,37119000000,122798000000,2975212106720
AAPL,2021-09-25,146.92,16487121000,2422287817320.0,34940000000,124719000000,2512066817320
AAPL,2021-06-26,133.11,16629371000,2213535573810.0,34050000000,121791000000,2301276573810
AAPL,2021-03-27,121.21,16753476000,2030688825960.0,38466000000,121645000000,2113867825960
AAPL,2020-12-26,131.97,16935119000,2234927654430.0,36010000000,112043000000,2310960654430
AAPL,2020-09-26,112.28,17057622000,1915229798160.0,38016000000,112436000000,1989649798160
AAPL,2020-06-27,88.41,17250292000,1525098315720.0,33383000000,112723000000,1604438315720
AAPL,2020-03-28,61.94,17440404000,1080258623760.0,40174000000,109507000000,1149591623760
AAPL,2019-12-28,72.45,17660160000,1279478592000.0,39771000000,108292000000,1347999592000
AAPL,2019-09-28,54.71,17963248000,982769298080.0,48844000000,108047000000,1041972298080
AAPL,2019-06-29,49.48,18282532000,904619683360.0,50530000000,108418000000,962507683360
AAPL,2019-03-30,47.49,18696284000,887886527160.0,37988000000,112630000000,962528527160
AAPL,2018-12-29,39.06,18943280000,739924516800.0,44771000000,114730000000,809883516800
AAPL,2018-09-29,56.44,19206356000,1084006732640.0,25913000000,114483000000,1172576732640
AAPL,2018-06-30,46.28,19528668000,903786755040.0,31971000000,114600000000,986415755040
AAPL,2018-03-31,41.95,20099508000,843174360600.0,45059000000,121840000000,919955360600
AAPL,2017-12-30,42.31,20451508000,865303303480.0,27491000000,122400000000,960212303480
AAPL,2017-09-30,38.53,20597712000,793629843360.0,20289000000,115680000000,889020843360
AAPL,2017-07-01,36.01,20780352000,748300475520.0,18571000000,108339000000,838068475520
AAPL,2017-04-01,35.92,20903164000,750841650880.0,15157000000,98522000000,834206650880
AAPL,2016-12-31,28.96,21194644000,613796890240.0,16371000000,87549000000,684974890240
AAPL,2016-09-24,28.18,21467648000,604958320640.0,20484000000,87032000000,671506320640
AAPL,2016-06-25,23.35,21772232000,508381617200.00006,18237000000,84935000000,575079617200
AAPL,2016-03-26,26.42,22057524000,582759784080.0,21514000000,79872000000,641117784080
AAPL,2015-12-26,27.01,22235720000,600586797200.0,16689000000,62963000000,646860797200
AAPL,2015-09-26,28.68,22587664000,647814203520.0,21120000000,64328000000,691022203520
AAPL,2015-06-27,31.69,22919544000,726320349360.0,15319000000,54418000000,765419349360
AAPL,2015-03-28,30.81,23175196000,714027788760.0,14489000000,43871000000,743409788760
AAPL,2014-12-27,28.5,23372328000,666111348000.0,19478000000,36403000000,683036348000
MSFT,2024-09-30,430.3,7433000000,3198419900000.0,20840000000,96838000000,3274417900000
MSFT,2024-06-30,456.73,7433000000,3394874090000.0,18315000000,97852000000,3474411090000
MSFT,2024-03-31,424.57,7431000000,3154979670000.0,19634000000,106229000000,3241574670000
MSFT,2023-12-31,376.04,7432000000,2794729280000.0,17305000000,111358000000,2888782280000
MSFT,2023-09-30,315.75,7429000000,2345706750000.0,80452000000,105681000000,2370935750000
MSFT,2023-06-30,340.54,7434000000,2531574360000.0,34704000000,79441000000,2576311360000
MSFT,2023-03-31,288.3,7441000000,2145240300000.0,26562000000,79312000000,2197990300000
MSFT,2022-12-31,239.82,7451000000,1786898820000.0,15646000000,77985000000,1849237820000
MSFT,2022-09-30,232.9,7457000000,1736735300000.0,22884000000,77136000000,1790987300000
MSFT,2022-06-30,256.83,7474000000,1919547420000.0,13931000000,78400000000,1984016420000
MSFT,2022-03-31,308.31,7493000000,2310166830000.0,12498000000,77981000000,2375649830000
MSFT,2021-12-31,336.32,7505000000,2524081600000.0,20604000000,80353000000,2583830600000
MSFT,2021-09-30,281.92,7513000000,2118064960000.0,19165000000,78935000000,2177834960000
MSFT,2021-06-30,270.9,7527000000,2039064299999.9998,14224000000,82278000000,2107118299999
MSFT,2021-03-31,235.77,7539000000,1777470030000.0,13702000000,81260000000,1845028030000
MSFT,2020-12-31,222.42,7555000000,1680383100000.0,14432000000,82782000000,1748733100000
MSFT,2020-09-30,210.33,7566000000,1591356780000.0,17205000000,83216000000,1657367780000
MSFT,2020-06-30,203.51,7580000000,1542605800000.0,13576000000,82110000000,1611139800000
MSFT,2020-03-31,157.71,7602000000,1198911420000.0,11710000000,84025000000,1271226420000
MSFT,2019-12-31,157.7,7621000000,1201831700000.0,8864000000,87147000000,1280114700000
MSFT,2019-09-30,139.03,7634000000,1061355020000.0,13117000000,85570000000,1133808020000
MSFT,2019-06-30,135.68,7655000000,1038630400000.0,11356000000,86455000000,1113729400000
MSFT,2019-03-31,119.02,7672000000,913121440000.0,11212000000,86343000000,988252440000
MSFT,2018-12-31,101.57,7692000000,781276440000.0,6638000000,85483000000,860121440000
MSFT,2018-09-30,115.61,7673000000,887075530000.0,15137000000,87928000000,959866530000
MSFT,2018-06-30,98.61,7683000000,757620630000.0,11946000000,87508000000,833182630000
MSFT,2018-03-31,91.27,7698000000,702596460000.0,9221000000,88621000000,781996460000
MSFT,2017-12-31,85.54,7710000000,659513400000.0,12859000000,100171000000,746825400000
MSFT,2017-09-30,74.49,7708000000,574168920000.0,6884000000,95971000000,663255920000
MSFT,2017-06-30,68.93,7715000000,531794950000.00006,7663000000,95527000000,619658950000
MSFT,2017-03-31,65.86,7725000000,508768500000.0,6713000000,85995000000,588050500000
MSFT,2016-12-31,62.14,7755000000,481895700000.0,8468000000,87806000000,561233700000
MSFT,2016-09-30,57.6,7789000000,448646400000.0,13928000000,75932000000,510650400000
MSFT,2016-06-30,51.17,7842000000,401275140000.0,6510000000,54541000000,449306140000
MSFT,2016-03-31,55.23,7895000000,436040850000.0,7170000000,46767000000,475637850000
MSFT,2015-12-31,55.48,7964000000,441842720000.0,7185000000,44868000000,479525720000
MSFT,2015-09-30,44.26,7996000000,353902960000.0,5431000000,38721000000,387192960000
MSFT,2015-06-30,44.15,8061000000,355893150000.0,5595000000,35384000000,385682150000
MSFT,2015-03-31,40.66,8167000000,332070220000.0,7414000000,31964000000,356620220000
MSFT,2014-12-31,46.45,8228000000,382190600000.0,6426000000,28738000000,404502600000
AMZN,2024-09-30,186.33,10501000000,1956651330000.0002,75091000000,134692000000,2016252330000
AMZN,2024-06-30,197.2,10447000000,2060148400000.0,71673000000,150577000000,2139052400000
AMZN,2024-03-31,180.97,10393000000,1880821210000.0,72852000000,153741000000,1961710210000
AMZN,2023-12-31,151.94,10356000000,1573490640000.0,73387000000,135611000000,1635714640000
AMZN,2023-09-30,127.12,10322000000,1312132640000.0,49605000000,136989000000,1399516640000
AMZN,2023-06-30,130.36,10285000000,1340752600000.0002,49529000000,138914000000,1430137600000
AMZN,2023-03-31,103.29,10250000000,1058722500000.0001,49343000000,141351000000,1150730500000
AMZN,2022-12-31,84.0,10220000000,858480000000.0,53888000000,140118000000,944710000000
AMZN,2022-09-30,113.0,10191000000,1151583000000.0,34947000000,128251000000,1244887000000
AMZN,2022-06-30,106.21,10175000000,1080686749999.9999,37478000000,124577000000,1167785750000
AMZN,2022-03-31,163.0,10180000000,1659340000000.0,36393000000,113287000000,1736234000000
AMZN,2021-12-31,166.72,10160000000,1693875200000.0,36220000000,116395000000,1774050200000
AMZN,2021-09-30,164.25,10140000000,1665495000000.0,29944000000,113903000000,1749454000000
AMZN,2021-06-30,172.01,10100000000,1737301000000.0,40380000000,106576000000,1803497000000
AMZN,2021-03-31,154.7,10080000000,1559376000000.0,33834000000,84935000000,1610477000000
AMZN,2020-12-31,162.85,10040000000,1635014000000.0,42122000000,84389000000,1677281000000
AMZN,2020-09-30,157.44,10020000000,1577548800000.0,29930000000,81518000000,1629136800000
AMZN,2020-06-30,137.94,10000000000,1379400000000.0,37466000000,75926000000,1417860000000
AMZN,2020-03-31,97.49,9960000000,971000400000.0,27201000000,63737000000,1007536400000
AMZN,2019-12-31,92.39,9920000000,916508800000.0,36092000000,63205000000,943621800000
AMZN,2019-09-30,86.8,9900000000,859320000000.0,23255000000,59530000000,895595000000
AMZN,2019-06-30,96.11,9860000000,947644600000.0,22616000000,58463000000,983491600000
AMZN,2019-03-31,90.71,9820000000,890772199999.9999,23115000000,56597000000,924254199999
AMZN,2018-12-31,75.1,9800000000,735980000000.0,31750000000,33145000000,737375000000
AMZN,2018-09-30,100.22,9760000000,978147200000.0,20425000000,24684000000,982406200000
AMZN,2018-06-30,84.99,9720000000,826102800000.0,19823000000,24638000000,830917800000
AMZN,2018-03-31,72.37,9680000000,700541600000.0,16676000000,24640000000,708505600000
AMZN,2017-12-31,58.47,9660000000,564820200000.0,20522000000,37926000000,582224200000
AMZN,2017-09-30,48.07,9620000000,462433400000.0,12767000000,24710000000,474376400000
AMZN,2017-06-30,48.4,9580000000,463672000000.0,13203000000,7683000000,458152000000
AMZN,2017-03-31,44.33,9540000000,422908200000.0,15440000000,7691000000,415159200000
AMZN,2016-12-31,37.49,9520000000,356904800000.0,19334000000,15213000000,352783800000
AMZN,2016-09-30,41.87,9480000000,396927600000.0,13656000000,8205000000,391476600000
AMZN,2016-06-30,35.78,9460000000,338478800000.0,12521000000,8212000000,334169800000
AMZN,2016-03-31,29.68,9420000000,279585600000.0,12470000000,8219000000,275334600000
AMZN,2015-12-31,33.79,9400000000,317626000000.0,15890000000,14175000000,315911000000
AMZN,2015-09-30,25.59,9360000000,239522400000.0,10709000000,8243000000,237056400000
AMZN,2015-06-30,21.7,9340000000,202678000000.0,10269000000,8250000000,200659000000
AMZN,2015-03-31,18.61,9300000000,173073000000.0,10237000000,8257000000,171093000000
AMZN,2014-12-31,15.52,9280000000,144025600000.0,14557000000,12489000000,141957600000
GOOGL,2024-09-30,165.85,12290000000,2038296500000.0,19959000000,26922000000,2045259500000
GOOGL,2024-06-30,182.99,12343000000,2258645570000.0,27225000000,28719000000,2260139570000
GOOGL,2024-03-31,155.49,12415000000,1930408350000.0,24493000000,28376000000,1934291350000
GOOGL,2023-12-31,139.69,12488000000,1744448720000.0,24048000000,28504000000,1748904720000
GOOGL,2023-09-30,130.86,12581000000,1646349660000.0002,30702000000,26331000000,1641978660000
GOOGL,2023-06-30,119.7,12668000000,1516359600000.0,25929000000,26451000000,1516881600000
GOOGL,2023-03-31,103.73,12781000000,1325773130000.0,25924000000,26496000000,1326345130000
GOOGL,2022-12-31,88.23,12897000000,1137902310000.0,21879000000,29679000000,1145702310000
GOOGL,2022-09-30,95.65,13000000000,1243450000000.0,21984000000,28922000000,1250388000000
GOOGL,2022-06-30,108.96,13168000000,1434785280000.0,17936000000,28728000000,1445577280000
GOOGL,2022-03-31,139.07,13203000000,1836141210000.0,20886000000,28421000000,1843676210000
GOOGL,2021-12-31,144.85,13253254036,1919733847114.5999,20945000000,26206000000,1924994847114
GOOGL,2021-09-30,133.68,13315154008,1779969787789.4402,23719000000,25759000000,1782009787789
GOOGL,2021-06-30,122.09,13379153979,1633460909296.11,23630000000,25947000000,1635777909296
GOOGL,2021-03-31,103.13,13464393941,1388582947135.3298,26622000000,25269000000,1387229947135
GOOGL,2020-12-31,87.63,13511633919,1184024480321.97,26465000000,25078000000,1182637480321
GOOGL,2020-09-30,73.28,13588974564,995800056049.92,20129000000,24886000000,1000557056049
GOOGL,2020-06-30,70.9,13635354545,966746637240.5001,17742000000,14727000000,963731637240
GOOGL,2020-03-31,58.1,13729294508,797672010914.8,19644000000,15492000000,793520010914
GOOGL,2019-12-31,66.97,13776114489,922586387328.33,18498000000,14768000000,918856387328
GOOGL,2019-09-30,61.06,13858817986,846219426225.16,16032000000,13748000000,843935426225
GOOGL,2019-06-30,55.0,13882757880,763551683400.0,16587000000,13162000000,760126683400
GOOGL,2019-03-31,59.95,13897697990,833166994500.5,19148000000,12272000000,826290994500
GOOGL,2018-12-31,52.25,13905200343,726546717921.75,16701000000,4012000000,713857717921
GOOGL,2018-09-30,60.43,13916724183,840987642378.69,13443000000,3986000000,831530642378
GOOGL,2018-06-30,56.46,13891298791,784302729739.86,14148000000,3981000000,774135729739
GOOGL,2018-03-31,51.86,13896520679,720673562412.94,12658000000,5302000000,713317562412
GOOGL,2017-12-31,52.67,13885051917,731325684468.39,10715000000,3969000000,724579684468
GOOGL,2017-09-30,48.69,13866111858,675140986366.02,10581000000,3964000000,668523986366
GOOGL,2017-06-30,46.48,13846752811,643597070655.2799,15711000000,3955000000,631841070655
GOOGL,2017-03-31,42.39,13824198292,586007765597.88,18132000000,3937000000,571812765597
GOOGL,2016-12-31,39.62,13798183355,546684024525.1,12918000000,3935000000,537701024525
GOOGL,2016-09-30,40.2,13752711890,552859017978.0,9406000000,3938000000,547391017978
GOOGL,2016-06-30,35.18,13718700560,482623885700.8,13627000000,4203000000,473199885700
GOOGL,2016-03-31,38.15,13748360514,524499953609.1,15111000000,5208000000,514596953609
GOOGL,2015-12-31,38.9,13751391147,534929115618.3,16549000000,5220000000,523600115618
GOOGL,2015-09-30,31.92,13720684167,437964238610.64,18068000000,5231000000,425127238610
GOOGL,2015-06-30,27.0,13663321188,368909672076.0,18453000000,5233000000,355689672076
GOOGL,2015-03-31,27.74,13618294552,377771490872.48,16976000000,5235000000,366030490872
GOOGL,2014-12-31,26.53,13578854568,360247011689.04004,18347000000,5237000000,347137011689
META,2024-09-30,572.44,2529000000,1447700760000.0002,43852000000,49047000000,1452895760000
META,2024-06-30,504.68,2534000000,1278859120000.0,32145000000,37991000000,1284705120000
META,2024-03-31,491.35,2545000000,1250485750000.0,32391000000,37633000000,1255727750000
META,2023-12-31,353.96,2566000000,908261360000.0,41862000000,37234000000,903633360000
META,2023-09-30,300.21,2576000000,773340960000.0,36890000000,36217000000,772667960000
META,2023-06-30,286.98,2568000000,736964640000.0,28785000000,36218000000,744397640000
META,2023-03-31,211.94,2587000000,548288780000.0,11551000000,27575000000,564312780000
META,2022-12-31,120.34,2638000000,317456920000.0,14681000000,26591000000,329366920000
META,2022-09-30,135.68,2682000000,363893760000.0,14308000000,25900000000,375485760000
META,2022-06-30,161.25,2704000000,436020000000.0,12681000000,16067000000,439406000000
META,2022-03-31,222.36,2725000000,605931000000.0,14886000000,14053000000,605098000000
META,2021-12-31,336.35,2797077658,940797070268.3,16601000000,13873000000,938069070268
META,2021-09-30,339.39,2855279503,969053310523.1699,14496000000,12640000000,967197310523
META,2021-06-30,347.71,2877000000,1000361670000.0,16186000000,12007000000,996182670000
META,2021-03-31,294.53,2877878787,847621639135.1099,19513000000,11614000000,839722639135
META,2020-12-31,273.16,2890000000,789432400000.0001,17576000000,10654000000,782510400000
META,2020-09-30,261.9,2891000000,757152899999.9999,11617000000,10616000000,756151899999
META,2020-06-30,227.07,2876666666,653204699848.62,21045000000,10532000000,642691699848
META,2020-03-31,166.8,2866666666,478159999888.80005,23618000000,10344000000,464885999888
META,2019-12-31,205.25,2864207192,587878526158.0,19079000000,10324000000,579123526158
META,2019-09-30,178.08,2873113207,511643999902.56006,15979000000,9132000000,504796999902
META,2019-06-30,193.0,2874725274,554821977882.0,13877000000,7810000000,548754977882
META,2019-03-31,168.7,2857647058,482085058684.6,11076000000,7210000000,478219058684
META,2018-12-31,131.09,2886000000,378325740000.0,10019000000,500000000,368806740000
META,2018-09-30,162.44,2913000000,473187720000.0,9637000000,70000000,463620720000
META,2018-06-30,194.32,2930000000,569357600000.0,11552000000,121000000,557926600000
META,2018-03-31,159.79,2944409872,470487253446.88,12082000000,98000000,458503253446
META,2017-12-31,176.46,2953308251,521140773971.46,8079000000,0,513061773971
META,2017-09-30,170.87,2954116986,504769969397.82,7201000000,0,497568969397
META,2017-06-30,150.98,2947970220,445084543815.6,6252000000,0,438832543815
META,2017-03-31,142.05,2939198278,417513115389.9,7104000000,0,410409115389
META,2016-12-31,115.05,2930593502,337164782405.1,8903000000,0,328261782405
META,2016-09-30,128.27,2923190383,374957630427.41003,6038000000,0,368919630427
META,2016-06-30,114.28,2912046224,332788642478.72003,5108000000,0,327680642478
META,2016-03-31,114.1,2894975245,330316675454.5,6456000000,0,323860675454
META,2015-12-31,104.66,2865097070,299861059346.2,4907000000,114000000,295068059346
META,2015-09-30,89.9,2847027396,255947762900.40002,4308000000,126000000,251765762900
META,2015-06-30,85.77,2834152528,243085262326.56,5123000000,149000000,238111262326
META,2015-03-31,82.22,2819397900,231810895338.0,3419000000,186000000,228577895338
META,2014-12-31,78.02,2795921810,218137819616.19998,4315000000,233000000,214055819616
TSLA,2024-09-30,261.63,3198000000,836692740000.0,18111000000,12783000000,831364740000
TSLA,2024-06-30,209.86,3191000000,669663260000.0,14635000000,12515000000,667543260000
TSLA,2024-03-31,175.22,3186000000,558250920000.0,11805000000,9911000000,556356920000
TSLA,2023-12-31,248.48,3181000000,790414880000.0,16398000000,9573000000,783589880000
TSLA,2023-09-30,250.22,3176000000,794698720000.0,15932000000,8187000000,786953720000
TSLA,2023-06-30,261.77,3171000000,830072670000.0,15296000000,5811000000,820587670000
TSLA,2023-03-31,207.46,3166000000,656818360000.0,16048000000,5574000000,646344360000
TSLA,2022-12-31,123.18,3160000000,389248800000.0,16253000000,5748000000,378743800000
TSLA,2022-09-30,265.25,3146000000,834476500000.0,19532000000,5874000000,820818500000
TSLA,2022-06-30,224.47,3111000000,698326170000.0,18324000000,6665000000,686667170000
TSLA,2022-03-31,359.2,3103000000,1114597600000.0,17505000000,7025000000,1104117600000
TSLA,2021-12-31,352.26,3045000000,1072631700000.0,17576000000,8873000000,1063928700000
TSLA,2021-09-30,258.49,2994000000,773919060000.0,16065000000,10126000000,767980060000
TSLA,2021-06-30,226.57,2913000000,659998410000.0,16229000000,11133000000,654902410000
TSLA,2021-03-31,222.64,2883000000,641871120000.0,17141000000,12511000000,637241120000
TSLA,2020-12-31,235.22,2853000000,671082660000.0,19384000000,13279000000,664977660000
TSLA,2020-09-30,143.0,2811000000,401973000000.0,14531000000,15163000000,402605000000
TSLA,2020-06-30,71.99,2790000000,200852100000.0,8615000000,15477000000,207714100000
TSLA,2020-03-31,34.93,2745000000,95882850000.0,8080000000,15200000000,103002850000
TSLA,2019-12-31,27.89,2700000000,75303000000.0,6268000000,14603000000,83638000000
TSLA,2019-09-30,16.06,2691000000,43217460000.0,5338000000,14413000000,52292460000
TSLA,2019-06-30,15.14,2649810000,40118123400.0,4954740000,14100832000,49264215400
TSLA,2019-03-31,19.28,2594835000,50028418800.0,2198169000,12540113000,60370362800
TSLA,2018-12-31,22.19,2580390000,57258854100.0,3686000000,13828000000,67400854100
TSLA,2018-09-30,20.71,2563395000,53087910450.0,2967504000,13455186000,63575592450
TSLA,2018-06-30,22.86,2549955000,58291971300.0,2236424000,13320947000,69376494300
TSLA,2018-03-31,17.74,2537190000,45009750599.99999,2665673000,12483042000,54827119599
TSLA,2017-12-31,20.76,2524710000,52412979600.00001,3367914000,12130863000,61175928600
TSLA,2017-09-30,22.74,2509410000,57063983399.99999,3530030000,11702649000,65236602399
TSLA,2017-06-30,24.11,2478180000,59748919800.0,3035924000,9545406000,66258401800
TSLA,2017-03-31,18.55,2431935000,45112394250.0,4006593000,9656626000,50762427250
TSLA,2016-12-31,14.25,2325360000,33136380000.0,3393216000,8588115000,38331279000
TSLA,2016-09-30,13.6,2234865000,30394164000.0,3084257000,2715461000,30025368000
TSLA,2016-06-30,14.15,2099745000,29711391750.0,3246301000,3283974000,29749064750
TSLA,2016-03-31,15.32,1990140000,30488944800.0,1441789000,3162240000,32209395800
TSLA,2015-12-31,16.0,1966500000,31464000000.0,1196908000,2897694000,33164786000
TSLA,2015-09-30,16.56,1935090000,32045090399.999996,1426036000,2679384000,33298438399
TSLA,2015-06-30,17.88,1900335000,33977989800.0,1150673000,2687891000,35515207800
TSLA,2015-03-31,12.58,1889205000,23766198900.0,1510076000,2584546000,24840668900
TSLA,2014-12-31,14.83,1882455000,27916807650.0,1905713000,2530909000,28542003650
BRK-A,2024-09-30,691180.0,1436706,993022453080.0,37181000000,139375000000,1095216453080
BRK-A,2024-06-30,610460.0,1436790,877102823400.0,42324000000,123628000000,958406823400
BRK-A,2024-03-31,634030.0,1439370,912603761100.0,35549000000,122754000000,999808761100
BRK-A,2023-12-31,542625.03,1442785,782891253908.55,38022000000,133570000000,878439253908
BRK-A,2023-09-30,531477.0,1446925,769007358225.0,30840000000,124781000000,862948358225
BRK-A,2023-06-30,517810.0,1449542,750587343020.0,50055000000,125347000000,825879343020
BRK-A,2023-03-31,465600.0,1456438,678117532800.0,26747000000,123624000000,774994532800
BRK-A,2022-12-31,468711.0,1463422,685921989042.0,35811000000,122744000000,772854989042
BRK-A,2022-09-30,406470.0,1466946,596269540620.0,32626000000,116496000000,680139540620
BRK-A,2022-06-30,408950.0,1470577,601392464150.0,30608000000,119081000000,689865464150
BRK-A,2022-03-31,528921.0,1474703,780001385463.0,39113000000,119661000000,860549385463
BRK-A,2021-12-31,450662.0,1485181,669314639822.0,88184000000,114262000000,695392639822
BRK-A,2021-09-30,411379.0,1503013,618307984927.0,69989000000,114965000000,663283984927
BRK-A,2021-06-30,418601.0,1519576,636096033176.0,42298000000,115223000000,709021033176
BRK-A,2021-03-31,385702.0,1533284,591390705368.0,60054000000,114531000000,645867705368
BRK-A,2020-12-31,347815.0,1556753,541462044695.0,47990000000,116895000000,610367044695
BRK-A,2020-09-30,320001.0,1586698,507744946698.0,26817000000,107691000000,588618946698
BRK-A,2020-06-30,267300.0,1611760,430823448000.0,36074000000,106689000000,501438448000
BRK-A,2020-03-31,272000.0,1622889,441425808000.0,42640000000,104233000000,503018808000
BRK-A,2019-12-31,339590.0,1628075,552877989250.0,64175000000,103368000000,592070989250
BRK-A,2019-09-30,311832.0,1633002,509222279664.0,74776000000,102194000000,536640279664
BRK-A,2019-06-30,321891.0,1634962,526279553142.0,44634000000,99907000000,581552553142
BRK-A,2019-03-31,307800.0,1639821,504736903800.0,26139000000,97193000000,575790903800
BRK-A,2018-12-31,306000.0,1641623,502336638000.0,30361000000,97490000000,569465638000
BRK-A,2018-09-30,321930.0,1643556,529109983080.0,41438000000,97640000000,585311983080
BRK-A,2018-06-30,282040.0,1645057,463971876280.0,64561000000,96773000000,496183876280
BRK-A,2018-03-31,299100.0,1644958,492006937800.0,57881000000,99085000000,533210937800
BRK-A,2017-12-31,297600.0,1644783,489487420800.0,31583000000,102587000000,560491420800
BRK-A,2017-09-30,274740.0,1644657,451853064180.0,42706000000,101490000000,510637064180
BRK-A,2017-06-30,254700.0,1644580,418874526000.0,26418000000,102270000000,494726526000
BRK-A,2017-03-31,249850.0,1644425,410859586250.0,96464000000,103956000000,418351586250
BRK-A,2016-12-31,244121.0,1644156,401373006876.0,86370000000,101644000000,416647006876
BRK-A,2016-09-30,216220.0,1643913,355446868860.0,84835000000,101798000000,372409868860
BRK-A,2016-06-30,216975.0,1643745,356651571375.0,72679000000,101413000000,385385571375
BRK-A,2016-03-31,213450.0,1643487,350802300150.0,58342000000,101539000000,393999300150
BRK-A,2015-12-31,197800.0,1643378,325060168400.0,71730000000,84289000000,337619168400
BRK-A,2015-09-30,195240.0,1643316,320841015840.0,66260000000,84911000000,339492015840
BRK-A,2015-06-30,204850.0,1643084,336585757400.0,66587000000,84578000000,354576757400
BRK-A,2015-03-31,217500.0,1642951,357341842500.0,63711000000,83795000000,377425842500
BRK-A,2014-12-31,226000.0,1642853,371284778000.0,63269000000,80209000000,388224778000
TSM,2024-09-30,5512.806809999999,5185600000,28587210993935.996,0,936160000000,29523370993935
